rep,method,test_ce
0,bert194M_ablation,0.8837034702301025
1,bert194M_ablation,0.9467287063598632
2,bert194M_ablation,1.0982939004898071
3,bert194M_ablation,1.0230892896652222
4,bert194M_ablation,0.9090242981910706
