rep,method,test_ce
0,logistic_regression,0.4244899789424312
1,logistic_regression,0.4048080851426035
2,logistic_regression,0.39779986969047787
3,logistic_regression,0.40610219372435763
4,logistic_regression,0.4129695445950312
