step,loss
21,4.617503166
90,3.349681377
98,3.123403549
111,2.608508825
113,2.643741369
257,0.928138852
315,0.999038041
361,0.791955888
367,0.746056557
381,0.694565833
391,0.827714145
396,0.913626015
424,0.845294595
432,0.817920387
444,0.618552685
544,0.520159602
551,0.544883132
559,0.478575021
759,0.392550588
768,0.384666443
790,0.361304224
842,0.437979043
867,0.485551357
939,0.429127038
944,0.37932831
949,0.322060227
957,0.462596446
973,0.384742677
1048,0.400039166
1219,0.352993399
1220,0.364019811
1255,0.359493434
1300,0.384187073
1316,0.429046124
1325,0.366944402
1376,0.487869084
1412,0.444861323
1420,0.285018772
1426,0.381318241
1549,0.328504831
1579,0.313040257
1587,0.337095857
1688,0.312190861
1751,0.25421688
1754,0.283229321
1767,0.298255414
1811,0.370793581
1902,0.384110361
1985,0.277043998
2117,0.313293964
2159,0.249326259
2161,0.283736527
2170,0.203737289
2210,0.273392648
2237,0.2086851
2322,0.392048061
2324,0.286594212
2341,0.273907393
2344,0.236625135
2356,0.409528911
2415,0.193401575
2431,0.177617967
2439,0.420169294
2442,0.286618918
2446,0.247761309
2509,0.411383092
2516,0.348778188
2534,0.253704429
2562,0.1779145
2586,0.249794662
2647,0.255396485
2704,0.32389456
2708,0.373419166
2773,0.411711395
2779,0.252813131
2820,0.345528305
2840,0.255793601
2918,0.362226278
2930,0.319885433
2953,0.269974798
2976,0.251035929
2982,0.414155513
3050,0.257415116
3052,0.359028995
3059,0.241686821
3065,0.284378082
3094,0.303170115
3138,0.302669734
3147,0.280963093
3149,0.283452481
3227,0.215436518
3232,0.223034978
3248,0.170320183
3315,0.290110052
3447,0.162823141
3448,0.289894104
3453,0.319766998
3597,0.245050251
3743,0.312382668
3809,0.233697042
3872,0.213421583
3879,0.166923702
3897,0.301853478
3912,0.100184619
3965,0.290100217
3978,0.206337258
3994,0.128127173
4017,0.328367114
4022,0.362959981
4054,0.301766932
4082,0.285153031
4155,0.15666154
4227,0.285514116
4239,0.172690392
4252,0.218447924
4297,0.137258992
4312,0.248845935
4330,0.213553831
4339,0.170554072
4362,0.268788725
4382,0.231015861
4453,0.211908981
4465,0.227466747
4596,0.230017394
4602,0.244182482
4641,0.231423751
4667,0.194679901
4763,0.209754571
4783,0.225250691
4805,0.245706156
4859,0.234749436
4929,0.213563234
5101,0.192735955
5139,0.318239182
5155,0.246994272
5202,0.184939146
5247,0.293067127
5326,0.167793751
5351,0.198651999
5360,0.204118401
5405,0.236772284
5450,0.272836953
5455,0.270517826
5497,0.262129426
5567,0.208686456
5569,0.155753359
5594,0.313413799
5602,0.277692467
5668,0.274842054
5767,0.231987804
5792,0.161169201
5797,0.196052626
5834,0.264341503
5853,0.295443535
5907,0.179280132
5909,0.288500309
5928,0.306683987
6002,0.295577705
6021,0.264762759
6086,0.295044273
6123,0.208322316
6146,0.289432019
6222,0.300153732
6250,0.129787475
6308,0.252088875
6340,0.321091563
6344,0.338612944
6367,0.161893889
6412,0.249055147
6562,0.167220205
6571,0.289421499
6597,0.20948334
6627,0.17293945
6633,0.21730268
6690,0.15845333
6718,0.310279965
6782,0.250379503
6830,0.207556158
6871,0.175813958
6892,0.226236656
6962,0.236494824
6988,0.193502367
6991,0.233276188
7015,0.159692228
7037,0.228076711
7135,0.200174749
7140,0.197808996
7256,0.167002082
7287,0.269633621
7367,0.151511848
7446,0.302526176
7451,0.270606816
7476,0.259741277
7477,0.162708819
7510,0.330611527
7551,0.21104084
7553,0.365285903
7570,0.1890091
7595,0.227139369
7639,0.245739669
7643,0.136453092
7715,0.303569943
7737,0.253913581
7760,0.156548738
7796,0.274297297
7871,0.152864099
7935,0.144990772
7946,0.305915475
7962,0.159634799
7983,0.247826219
7996,0.21518299
8018,0.163925096
8071,0.124309093
8115,0.225771084
8162,0.254106581
8174,0.224806339
8248,0.248973459
8299,0.272147059
8311,0.231754601
8399,0.202254653
8489,0.208680287
8518,0.190642625
8561,0.16201748
8580,0.31486243
8591,0.209051922
8648,0.215513453
8682,0.098658234
8693,0.21470502
8715,0.228541791
8784,0.246645391
8808,0.257741809
8823,0.214006409
8878,0.226619855
8885,0.128123373
8891,0.222187176
8945,0.118131772
8948,0.158664674
9002,0.205413371
9014,0.176137745
9119,0.260027081
9141,0.216936544
9201,0.246448383
9229,0.267229676
9240,0.228299901
9276,0.128087267
9286,0.295923352
9288,0.240260318
9426,0.163321406
9446,0.259775996
9525,0.159590989
9614,0.287806392
