step,loss
3433,4.3866353034973145
6868,2.9316112995147705
10335,2.4613332748413086
13776,2.2135281562805176
19104,1.9202327728271484
22538,1.842979907989502
26004,1.7889801263809204
29446,1.7402491569519043
34777,1.6470321416854858
38212,1.626550555229187
41679,1.6050924062728882
45122,1.588842272758484
50452,1.5373127460479736
53888,1.530470609664917
57356,1.5323612689971924
60796,1.5168756246566772
66124,1.47393536567688
69560,1.4763226509094238
73027,1.4742419719696045
76469,1.4711576700210571
81798,1.4344860315322876
85232,1.4366726875305176
88698,1.441179871559143
92139,1.4384557008743286
97469,1.4019677639007568
100903,1.4073752164840698
104369,1.4156635999679563
107810,1.4128481149673462
113142,1.3768413066864014
116576,1.384465217590332
120043,1.3894747495651243
123484,1.3900790214538574
128816,1.3574506044387815
132251,1.3651524782180786
135717,1.370850920677185
139158,1.3712395429611206
144490,1.331063747406006
147924,1.342493176460266
151390,1.351549744606018
154831,1.3543680906295776
160160,1.314651370048523
163595,1.326555609703064
167063,1.336553931236267
170504,1.3384748697280884
175833,1.295885682106018
179267,1.307473063468933
182733,1.3191959857940674
186175,1.3205418586730957
191508,1.2801600694656372
194942,1.2907817363739014
198408,1.3072879314422607
201849,1.3069745302200315
207181,1.2610687017440796
210616,1.2766588926315308
214083,1.2892898321151731
217526,1.290447473526001
222856,1.241644024848938
226291,1.25709068775177
229757,1.2711259126663208
233198,1.2734404802322388
238527,1.2257983684539795
241962,1.2414000034332275
245428,1.2549546957015991
248869,1.259368896484375
254199,1.2068114280700684
257633,1.2220350503921509
261099,1.2365936040878296
264541,1.243303894996643
269873,1.1856011152267456
273307,1.206579566001892
276773,1.2177183628082275
280214,1.2233190536499023
285544,1.1652717590332031
288978,1.188518524169922
292445,1.2022165060043335
295886,1.2052717208862305
301214,1.1455657482147217
304651,1.1665987968444824
308118,1.1838784217834473
311559,1.1857787370681765
316888,1.1264114379882812
320322,1.147984266281128
323788,1.165825605392456
327230,1.1666680574417114
332562,1.1027294397354126
335997,1.1310269832611084
339463,1.1470030546188354
342905,1.1475592851638794
348237,1.0830745697021484
351672,1.1079469919204712
355139,1.1275135278701782
358580,1.1285244226455688
363914,1.0589951276779177
367349,1.0883357524871826
370816,1.103868842124939
374258,1.1110371351242063
379586,1.0371792316436768
383020,1.0676437616348269
