step,loss
20,0.084620588
100,0.079789959
132,0.0809578
140,0.080719002
170,0.082870342
195,0.090945676
203,0.081092238
215,0.075533867
278,0.081850559
283,0.067530207
295,0.078859739
379,0.091834627
389,0.072369091
399,0.077799886
400,0.075540081
420,0.079017863
439,0.078804858
453,0.073465951
562,0.06891159
707,0.065921798
754,0.066170424
783,0.070494696
789,0.072365984
854,0.070694037
891,0.064488374
948,0.068325602
1026,0.059653737
1032,0.065154113
1087,0.074716702
1136,0.062704332
1146,0.070340395
1277,0.071041517
1289,0.058985233
1332,0.060691349
1371,0.059660159
1391,0.061938163
1494,0.06993866
1601,0.059721313
1619,0.062792733
1735,0.060366385
1858,0.060544576
1868,0.057000823
1915,0.066087842
1988,0.053623423
2020,0.052217107
2086,0.063141249
2093,0.066053435
2264,0.050092082
2301,0.059493847
2316,0.052144565
2390,0.053309202
2417,0.055711821
2430,0.058910623
2544,0.061610065
2584,0.046892896
2666,0.051883422
2722,0.056827933
2730,0.048368502
2800,0.057484556
2833,0.045762256
2840,0.047374155
2882,0.054999489
2897,0.054416865
2936,0.046092235
2958,0.047195893
2975,0.047688134
3029,0.05143024
3088,0.043830533
3196,0.058943462
3206,0.042019598
3248,0.046823129
3308,0.051386956
3327,0.049696568
3341,0.045447264
3348,0.059241235
3413,0.041417517
3454,0.047113106
3599,0.050391626
3601,0.042521019
3621,0.04643644
3644,0.049527161
3645,0.044837482
3743,0.044318873
3744,0.039809138
3747,0.046295434
3748,0.045791436
3829,0.047652941
3857,0.04800114
3882,0.048695866
3890,0.046480704
3954,0.047980789
4046,0.049632281
4078,0.051061384
4103,0.044200361
4104,0.043229744
4138,0.045857366
4182,0.04659538
4313,0.046803225
4320,0.039867643
4326,0.042722002
4336,0.045009296
4375,0.047690503
4377,0.040600207
4413,0.041690283
4480,0.037066571
4545,0.047435239
4604,0.041230008
4609,0.047916099
4646,0.047345199
4719,0.040674273
4803,0.051498476
4812,0.042511318
4819,0.04461376
4851,0.048058733
4874,0.049278632
4917,0.03985209
4923,0.041636966
4926,0.043881893
4933,0.049432695
4949,0.043498959
4953,0.045928378
4960,0.039675761
4970,0.048577227
5098,0.046194695
5130,0.047834121
5230,0.038942844
5307,0.044196915
5377,0.042745315
5402,0.045508105
5442,0.050257474
5572,0.043771505
5631,0.040504046
5648,0.046512604
5659,0.042528726
5681,0.052931063
5722,0.044839442
5795,0.052664381
5827,0.048116621
5836,0.045843773
5866,0.036465544
5873,0.037089951
5878,0.045636825
5921,0.04691536
5925,0.046595175
5941,0.045857321
5960,0.044760793
5989,0.047946967
6011,0.034550361
6012,0.050312422
6013,0.045805454
6064,0.037676889
6073,0.042176917
6109,0.046842121
6115,0.041684538
6126,0.047081687
6223,0.040016253
6354,0.043350484
6491,0.039047193
6517,0.044677883
6532,0.042908173
6569,0.038437285
6570,0.041657239
6594,0.044899076
6605,0.044819985
6645,0.044191714
6647,0.044828959
6700,0.041771732
6733,0.04359683
6783,0.036905803
6784,0.043564871
6813,0.045043759
6814,0.037652161
6822,0.050551042
6964,0.039327253
6994,0.039502151
7007,0.042010397
7038,0.043488529
7039,0.044630419
7047,0.042004682
7092,0.045727994
7124,0.043463264
7145,0.037534844
7169,0.041281294
7181,0.041926451
7260,0.042358581
7371,0.049004897
7382,0.040112894
7465,0.04438816
7470,0.050651617
7497,0.04073149
7557,0.043607149
7574,0.038370356
7607,0.038125928
7622,0.049667444
7636,0.04199554
7653,0.044173263
7788,0.038414724
7849,0.045191415
7904,0.03908528
8022,0.041795596
8080,0.038928568
8094,0.044901676
8099,0.042125504
8106,0.044866856
8116,0.045363374
8156,0.036495566
8160,0.037619457
8179,0.041698344
8196,0.046108674
8235,0.038012177
8250,0.044582881
8260,0.046745997
8266,0.045934267
8275,0.049380504
8346,0.037878677
8377,0.036656477
8393,0.04360047
8399,0.042276941
8471,0.042182934
8519,0.050232571
8526,0.041854657
8540,0.038398005
8550,0.039336182
8578,0.0344785
8628,0.039749913
8643,0.033921998
8717,0.046916276
8776,0.036376897
8805,0.041431896
8851,0.04543769
8876,0.048900317
8894,0.03974681
8937,0.037607916
9043,0.039829861
9093,0.036972411
9108,0.042621601
9154,0.040283799
9159,0.034620836
9172,0.04304558
9270,0.041215461
9275,0.045442771
9289,0.036765914
9292,0.040615182
9345,0.040168881
9346,0.044002965
9357,0.037569061
9374,0.032895047
9425,0.044273425
9459,0.039568003
9499,0.038685434
9509,0.049020898
9522,0.047321681
9524,0.043012712
9565,0.036398996
9571,0.049700677
9601,0.044093393
9642,0.041047107
9687,0.03831397
9693,0.043367215
9704,0.036420066
9786,0.037562151
9908,0.040176895
9923,0.035544079
9972,0.039481841
10082,0.048313268
10084,0.043021195
10127,0.03871616
10294,0.045905195
10344,0.037946366
10384,0.043802656
10405,0.043572761
10464,0.042416304
10508,0.040644385
10523,0.0364004
10537,0.037707724
10546,0.038063336
10547,0.044526368
10548,0.034108933
10564,0.045403618
10593,0.042043015
